Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Female,1,Sales Representative,Married,2014,1,Y,No,13,80,0,2,3,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,51,Female,1,Research Scientist,Married,3419,9,Y,Yes,14,80,1,6,3,1,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,1,52,Female,2,Sales Executive,Married,5376,2,Y,No,19,80,2,10,3,5,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,1,53,Male,1,Laboratory Technician,Divorced,1951,1,Y,No,12,80,1,1,3,1,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,54,Female,1,Laboratory Technician,Divorced,2341,1,Y,No,13,80,1,1,6,1,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,55,Male,1,Laboratory Technician,Single,2293,1,Y,No,12,80,0,1,2,1,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,1,56,Male,3,Sales Executive,Single,8726,1,Y,No,15,80,0,9,0,9,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,1,57,Female,2,Laboratory Technician,Single,4011,1,Y,No,23,80,0,12,2,12,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,58,Female,5,Research Director,Married,19545,1,Y,No,12,80,0,23,0,22,15,8
34,No,Non-Travel,Sales,23,4,Marketing,1,60,Male,2,Sales Executive,Single,4568,0,Y,No,20,80,0,10,2,9,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,61,Male,1,Research Scientist,Married,3022,4,Y,No,21,80,0,8,1,1,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,62,Male,2,Sales Executive,Single,5772,4,Y,Yes,21,80,0,14,4,9,0,8
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,63,Male,1,Laboratory Technician,Married,2269,1,Y,No,19,80,0,1,2,1,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,64,Male,3,Laboratory Technician,Single,5381,9,Y,Yes,13,80,0,23,2,1,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,65,Male,1,Laboratory Technician,Single,3441,1,Y,Yes,13,80,0,2,3,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,1,68,Female,2,Sales Executive,Divorced,5454,5,Y,Yes,21,80,1,9,2,4,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,1,70,Male,3,Healthcare Representative,Married,9884,2,Y,Yes,13,80,1,10,3,4,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,1,72,Female,2,Sales Executive,Married,4157,7,Y,Yes,19,80,1,5,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,73,Female,3,Research Director,Single,13458,1,Y,Yes,12,80,0,15,1,15,8,12
35,No,Travel_Frequently,Sales,18,5,Life Sciences,1,74,Male,3,Sales Executive,Married,9069,1,Y,No,22,80,1,9,3,9,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,1,75,Female,1,Laboratory Technician,Married,4014,3,Y,Yes,15,80,1,4,3,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,76,Male,2,Laboratory Technician,Divorced,5915,3,Y,No,22,80,1,10,3,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,77,Male,2,Manufacturing Director,Divorced,5993,1,Y,No,18,80,1,7,2,7,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,78,Male,2,Manufacturing Director,Married,6162,1,Y,Yes,22,80,1,9,3,9,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,1,79,Female,2,Laboratory Technician,Single,2406,1,Y,No,11,80,0,10,2,10,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,1,80,Female,5,Research Director,Divorced,18740,5,Y,Yes,12,80,1,29,2,27,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,81,Female,3,Sales Executive,Single,7637,7,Y,No,11,80,0,28,3,21,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,83,Female,3,Healthcare Representative,Divorced,10096,1,Y,No,13,80,3,17,2,17,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,1,84,Female,4,Manager,Divorced,14756,2,Y,Yes,14,80,3,21,2,5,0,2
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,1,85,Male,2,Manufacturing Director,Single,6499,1,Y,No,13,80,0,6,3,6,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,86,Male,3,Research Scientist,Divorced,9724,2,Y,No,17,80,1,25,2,1,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,1,88,Male,1,Research Scientist,Married,2194,4,Y,No,13,80,1,5,2,3,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,90,Male,1,Research Scientist,Married,3388,0,Y,Yes,17,80,1,2,0,1,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,91,Female,2,Sales Executive,Single,5473,7,Y,No,11,80,0,20,2,4,1,3
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,94,Male,1,Research Scientist,Married,2703,0,Y,No,23,80,1,6,3,5,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,1,95,Male,1,Research Scientist,Single,2501,1,Y,No,17,80,0,1,4,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,96,Male,2,Research Scientist,Married,6220,1,Y,No,17,80,2,10,3,10,0,9
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,97,Female,1,Laboratory Technician,Married,3038,3,Y,No,12,80,0,5,3,1,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,98,Female,2,Manufacturing Director,Single,4424,1,Y,No,23,80,0,11,2,11,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,1,100,Male,2,Sales Executive,Single,4312,0,Y,No,14,80,0,16,2,15,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,1,101,Male,3,Research Director,Married,13245,4,Y,Yes,14,80,0,17,3,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,102,Male,3,Research Director,Single,13664,4,Y,No,13,80,0,16,3,5,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,1,103,Male,2,Human Resources,Divorced,5021,8,Y,Yes,22,80,1,16,2,4,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,104,Male,2,Laboratory Technician,Married,5126,1,Y,Yes,12,80,2,10,1,10,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,1,105,Male,1,Research Scientist,Single,2859,1,Y,No,18,80,0,6,3,6,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,106,Male,3,Sales Executive,Married,10239,3,Y,No,14,80,1,24,4,1,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,1,107,Female,2,Research Scientist,Divorced,5329,7,Y,Yes,12,80,3,17,3,13,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,110,Male,2,Manufacturing Director,Married,4325,1,Y,No,15,80,0,5,2,5,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,112,Male,3,Manufacturing Director,Single,7260,4,Y,No,11,80,0,37,3,6,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,1,113,Male,1,Sales Representative,Divorced,2322,3,Y,No,13,80,1,3,3,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,116,Male,1,Laboratory Technician,Married,2075,3,Y,No,23,80,2,10,4,4,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,117,Male,2,Healthcare Representative,Married,4152,1,Y,No,19,80,3,11,3,11,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,1,118,Male,3,Sales Executive,Single,9619,1,Y,No,16,80,0,9,3,9,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,119,Male,4,Healthcare Representative,Married,13503,1,Y,No,22,80,1,22,3,22,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,1,120,Male,2,Sales Executive,Single,5441,0,Y,Yes,22,80,0,11,2,10,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,1,121,Female,2,Sales Executive,Divorced,5209,1,Y,Yes,12,80,3,11,4,11,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,1,124,Male,3,Healthcare Representative,Married,10673,2,Y,Yes,13,80,1,21,5,10,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,1,125,Male,2,Sales Executive,Single,5010,1,Y,No,16,80,0,12,0,11,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,126,Female,3,Research Director,Married,13549,9,Y,No,12,80,1,16,5,4,0,3
24,No,Travel_Rarely,Sales,3,2,Other,1,128,Female,2,Sales Executive,Married,4999,0,Y,No,21,80,1,4,2,3,0,2
28,No,Non-Travel,Sales,4,3,Medical,1,129,Male,2,Sales Executive,Married,4221,1,Y,No,15,80,0,5,3,5,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,1,131,Male,4,Sales Executive,Single,13872,0,Y,No,13,80,0,38,1,37,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,1,132,Male,2,Laboratory Technician,Married,2042,4,Y,No,12,80,1,17,3,3,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,1,133,Male,1,Human Resources,Divorced,2073,4,Y,Yes,22,80,0,7,3,3,0,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,134,Male,1,Research Scientist,Single,2956,1,Y,No,13,80,0,1,2,1,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,1,137,Female,1,Laboratory Technician,Single,2926,1,Y,Yes,18,80,0,1,5,1,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,1,138,Female,2,Research Scientist,Single,4809,1,Y,No,14,80,0,16,3,16,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,1,139,Male,2,Healthcare Representative,Divorced,5163,5,Y,No,14,80,1,17,2,1,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,1,140,Female,5,Manager,Married,18844,9,Y,No,21,80,1,30,3,3,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,141,Female,5,Research Director,Married,18172,3,Y,Yes,19,80,0,28,1,8,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,1,142,Male,2,Sales Executive,Single,5744,1,Y,Yes,11,80,0,6,1,6,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,1,143,Male,1,Research Scientist,Married,2889,1,Y,No,11,80,2,2,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,1,144,Female,1,Laboratory Technician,Single,2871,1,Y,No,15,80,0,1,5,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,145,Female,3,Healthcare Representative,Single,7484,3,Y,No,20,80,0,23,1,13,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,147,Male,2,Laboratory Technician,Single,6074,1,Y,Yes,24,80,0,9,3,9,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,1,148,Female,4,Manager,Single,17328,2,Y,Yes,12,80,0,23,3,5,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,1,150,Male,1,Laboratory Technician,Married,2774,0,Y,No,12,80,1,6,2,5,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,151,Female,2,Research Scientist,Divorced,4505,6,Y,No,15,80,1,12,3,1,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,1,152,Male,3,Sales Executive,Single,7428,2,Y,No,12,80,0,12,3,5,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,1,153,Female,3,Manager,Single,11631,2,Y,No,12,80,0,14,6,11,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,1,154,Female,3,Sales Executive,Married,9738,0,Y,No,14,80,1,10,6,9,2,8
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,155,Female,1,Laboratory Technician,Divorced,2835,5,Y,No,22,80,1,7,2,1,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,1,158,Male,4,Manager,Married,16959,1,Y,Yes,12,80,2,25,3,25,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,159,Male,1,Research Scientist,Divorced,2613,1,Y,No,25,80,3,10,2,10,0,9
33,No,Non-Travel,Sales,22,2,Marketing,1,160,Male,2,Sales Executive,Married,6146,0,Y,No,13,80,1,8,2,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,1,161,Female,1,Research Scientist,Married,4963,9,Y,Yes,18,80,3,7,2,5,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,162,Male,5,Research Director,Single,19537,7,Y,No,13,80,0,23,5,20,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,1,163,Male,2,Sales Executive,Married,6172,4,Y,Yes,18,80,0,12,3,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,1,164,Female,1,Research Scientist,Married,2368,1,Y,No,19,80,0,5,3,5,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,1,165,Female,3,Healthcare Representative,Married,10312,1,Y,No,12,80,1,40,3,40,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,1,167,Male,1,Sales Representative,Single,1675,1,Y,Yes,19,80,0,0,2,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,169,Male,1,Laboratory Technician,Married,2523,0,Y,No,14,80,1,3,2,2,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,1,170,Female,2,Manufacturing Director,Married,6567,1,Y,No,14,80,0,16,2,15,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,1,171,Female,1,Research Scientist,Single,4739,4,Y,No,12,80,0,18,2,3,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,1,174,Female,3,Sales Executive,Single,9208,4,Y,No,11,80,0,16,3,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,1,175,Female,2,Sales Executive,Married,4559,3,Y,Yes,11,80,1,4,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,1,176,Male,3,Sales Executive,Divorced,8189,3,Y,Yes,13,80,1,12,2,9,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,1,177,Female,1,Human Resources,Married,2942,1,Y,No,23,80,1,8,3,8,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,1,178,Male,2,Manufacturing Director,Divorced,4941,6,Y,No,20,80,2,7,0,3,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,179,Male,3,Manufacturing Director,Single,10650,2,Y,No,15,80,0,18,2,4,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,1,182,Female,2,Sales Executive,Married,5902,4,Y,No,14,80,1,17,1,15,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,183,Male,2,Sales Executive,Married,8639,2,Y,No,18,80,0,6,3,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,1,184,Male,2,Human Resources,Married,6347,0,Y,Yes,19,80,0,12,2,11,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,190,Female,1,Laboratory Technician,Single,4200,7,Y,No,22,80,0,10,2,5,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,1,192,Male,1,Research Scientist,Single,3452,5,Y,No,13,80,0,9,2,6,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,1,193,Female,2,Research Scientist,Single,4317,3,Y,Yes,20,80,0,19,2,3,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,194,Female,1,Research Scientist,Single,2632,1,Y,No,14,80,0,5,4,5,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,1,195,Male,2,Sales Executive,Divorced,4668,0,Y,No,17,80,3,9,2,8,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,1,197,Female,1,Research Scientist,Divorced,3204,5,Y,No,14,80,1,8,3,3,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,1,198,Male,1,Laboratory Technician,Single,2720,0,Y,No,13,80,0,6,3,5,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,199,Male,4,Manager,Divorced,17181,4,Y,No,13,80,1,21,2,7,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,200,Male,1,Laboratory Technician,Married,2238,2,Y,No,21,80,1,7,2,5,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,1,201,Female,1,Laboratory Technician,Single,1483,1,Y,No,14,80,0,1,3,1,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,1,202,Female,2,Research Scientist,Divorced,5605,1,Y,No,11,80,1,20,2,20,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,1,204,Male,3,Sales Executive,Married,7295,1,Y,No,13,80,2,10,3,10,0,6
53,No,Travel_Rarely,Sales,6,2,Marketing,1,205,Male,2,Sales Representative,Married,2306,2,Y,Yes,20,80,1,13,3,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,206,Male,2,Laboratory Technician,Divorced,2348,8,Y,No,18,80,1,20,2,17,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,1,207,Female,3,Sales Executive,Single,8998,1,Y,No,14,80,0,9,2,9,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,1,208,Male,2,Manufacturing Director,Married,4319,1,Y,No,13,80,1,10,1,10,0,9
51,No,Travel_Rarely,Research & Development,7,4,Medical,1,211,Male,2,Manufacturing Director,Married,6132,2,Y,No,17,80,0,10,2,1,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,1,214,Female,1,Research Scientist,Married,3346,4,Y,Yes,20,80,1,9,3,1,0,0
40,No,Travel_Rarely,Sales,4,4,Marketing,1,215,Male,3,Sales Executive,Married,10855,7,Y,No,11,80,1,15,2,12,2,11
34,No,Travel_Frequently,Sales,2,4,Marketing,1,216,Female,1,Sales Representative,Married,2231,6,Y,No,18,80,1,6,3,4,1,2
22,No,Travel_Rarely,Research & Development,19,1,Medical,1,217,Male,1,Research Scientist,Married,2323,1,Y,No,24,80,2,2,6,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,1,218,Male,1,Research Scientist,Divorced,2024,6,Y,No,18,80,1,6,1,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Medical,1,221,Male,1,Research Scientist,Married,2713,1,Y,No,11,80,1,5,2,5,0,2
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,1,223,Male,3,Healthcare Representative,Divorced,9439,3,Y,Yes,16,80,1,12,2,5,1,4
27,No,Non-Travel,Research & Development,3,3,Medical,1,224,Male,1,Research Scientist,Divorced,2566,1,Y,Yes,15,80,1,1,2,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,1,226,Female,5,Manager,Single,19926,3,Y,No,15,80,0,21,5,5,4,4
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,227,Male,1,Research Scientist,Divorced,2451,4,Y,No,12,80,1,13,2,9,1,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,1,228,Female,3,Sales Executive,Married,9419,2,Y,No,12,80,1,12,2,10,7,4
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,230,Female,2,Sales Executive,Single,8686,4,Y,No,22,80,0,12,2,8,0,7
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,1,231,Male,1,Research Scientist,Single,3038,3,Y,No,20,80,0,8,2,5,1,4
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,1,233,Male,1,Research Scientist,Married,3058,0,Y,Yes,16,80,1,6,3,5,1,1
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,235,Female,1,Sales Representative,Single,2325,0,Y,No,21,80,0,1,5,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,Medical,1,238,Male,1,Laboratory Technician,Single,2088,4,Y,No,12,80,0,13,3,8,7,2
30,No,Non-Travel,Research & Development,9,3,Medical,1,239,Male,2,Laboratory Technician,Divorced,3072,1,Y,No,11,80,2,12,4,12,6,10
45,No,Travel_Rarely,Sales,4,2,Life Sciences,1,240,Female,2,Sales Executive,Divorced,5006,4,Y,Yes,11,80,1,9,3,5,0,3
56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,241,Female,1,Research Scientist,Divorced,4257,4,Y,Yes,18,80,1,19,3,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,242,Male,1,Research Scientist,Single,2500,0,Y,No,14,80,0,4,2,3,0,2
19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,243,Male,1,Laboratory Technician,Single,1102,1,Y,No,22,80,0,1,3,1,1,0
46,No,Travel_Rarely,Sales,1,2,Marketing,1,244,Female,3,Sales Executive,Divorced,10453,1,Y,No,25,80,3,24,2,24,15,7
38,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,245,Female,1,Laboratory Technician,Single,2288,1,Y,No,12,80,0,2,3,2,2,1
31,No,Travel_Rarely,Research & Development,12,1,Medical,1,246,Female,1,Research Scientist,Married,3929,8,Y,Yes,23,80,1,7,0,4,0,2
34,No,Travel_Rarely,Research & Development,27,2,Medical,1,247,Female,1,Research Scientist,Single,2311,2,Y,No,15,80,0,9,3,3,1,2
